stock_code,stock_name,as_of_date
689009,九号公司-WD,2026-09-09
688981,中芯国际,2026-09-09
688837,信诺维,2026-09-09
688836,宇树科技-W,2026-09-09
688835,高凯技术,2026-09-09
688828,国仪公司-U,2026-09-09
688826,频准激光,2026-09-09
688825,长鑫科技,2026-09-09
688820,盛合晶微,2026-09-09
688819,天能股份,2026-09-09
688818,电科蓝天,2026-09-09
688816,易思维,2026-09-09
688813,泰金新能,2026-09-09
688811,有研复材,2026-09-09
688809,强一股份,2026-09-09
688808,联讯仪器,2026-09-09
688807,优迅股份,2026-09-09
688806,泰诺麦博-U,2026-09-09
688805,健信超导,2026-09-09
688802,沐曦股份-U,2026-09-09
688801,燧原科技,2026-09-09
688800,瑞可达,2026-09-09
688799,华纳药厂,2026-09-09
688798,艾为电子,2026-09-09
688797,臻宝科技,2026-09-09
688796,百奥赛图,2026-09-09
688795,摩尔线程-U,2026-09-09
688793,倍轻松,2026-09-09
688790,昂瑞微-UW,2026-09-09
688789,宏华数科,2026-09-09
688788,科思科技,2026-09-09
688787,海天瑞声,2026-09-09
688786,悦安新材,2026-09-09
688785,恒运昌,2026-09-09
688783,西安奕材-U,2026-09-09
688781,视涯科技-UW,2026-09-09
688779,五矿新能,2026-09-09
688778,厦钨新能,2026-09-09
688777,中控技术,2026-09-09
688776,国光电气,2026-09-09
688775,影石创新,2026-09-09
688772,珠海冠宇,2026-09-09
688768,容知日新,2026-09-09
688767,博拓生物,2026-09-09
688766,普冉股份,2026-09-09
688765,禾元生物-U,2026-09-09
688759,必贝特-U,2026-09-09
688758,赛分科技,2026-09-09
688757,胜科纳米,2026-09-09
688755,汉邦科技,2026-09-09
688750,金天钛业,2026-09-09
688739,成大生物,2026-09-09
688737,中自科技,2026-09-09
688733,壹石通,2026-09-09
688729,屹唐股份,2026-09-09
688728,格科微,2026-09-09
688727,恒坤新材,2026-09-09
688726,拉普拉斯,2026-09-09
688722,同益中,2026-09-09
688721,龙图光罩,2026-09-09
688720,艾森股份,2026-09-09
688719,爱科赛博,2026-09-09
688718,唯赛勃,2026-09-09
688717,艾罗能源,2026-09-09
688716,中研股份,2026-09-09
688712,北芯生命,2026-09-09
688711,宏微科技,2026-09-09
688710,益诺思,2026-09-09
688709,成都华微,2026-09-09
688708,佳驰科技,2026-09-09
688707,振华新材,2026-09-09
688702,盛科通信-U,2026-09-09
688701,卓锦股份,2026-09-09
688700,东威科技,2026-09-09
688699,明微电子,2026-09-09
688698,伟创电气,2026-09-09
688697,纽威数控,2026-09-09
688696,极米科技,2026-09-09
688695,中创股份,2026-09-09
688693,锴威特,2026-09-09
688692,达梦数据,2026-09-09
688691,灿芯股份,2026-09-09
688690,纳微科技,2026-09-09
688689,银河微电,2026-09-09
688687,凯因科技,2026-09-09
688686,奥普特,2026-09-09
688685,迈信林,2026-09-09
688683,莱尔科技,2026-09-09
688682,霍莱沃,2026-09-09
688681,科汇股份,2026-09-09
688680,海优新材,2026-09-09
688679,通源环境,2026-09-09
688678,福立旺,2026-09-09
688677,海泰新光,2026-09-09
688676,金盘科技,2026-09-09
688671,碧兴物联,2026-09-09
688670,金迪克,2026-09-09
688669,聚石化学,2026-09-09
688668,鼎通科技,2026-09-09
688667,菱电电控,2026-09-09
688665,四方光电,2026-09-09
688663,新风光,2026-09-09
688662,富信科技,2026-09-09
688661,和林微纳,2026-09-09
688660,电气风电,2026-09-09
688659,元琛科技,2026-09-09
688658,悦康药业,2026-09-09
688657,浩辰软件,2026-09-09
688656,浩欧博,2026-09-09
688655,迅捷兴,2026-09-09
688653,康希通信,2026-09-09
688652,京仪装备,2026-09-09
688651,盛邦安全,2026-09-09
688648,中邮科技,2026-09-09
688646,逸飞激光,2026-09-09
688639,华恒生物,2026-09-09
688638,誉辰智能,2026-09-09
688636,智明达,2026-09-09
688635,长进光子,2026-09-09
688633,星球石墨,2026-09-09
688631,莱斯信息,2026-09-09
688630,芯碁微装,2026-09-09
688629,华丰科技,2026-09-09
688628,优利德,2026-09-09
688627,精智达,2026-09-09
688626,翔宇医疗,2026-09-09
688625,呈和科技,2026-09-09
688623,双元科技,2026-09-09
688622,*ST禾信,2026-09-09
688621,阳光诺和,2026-09-09
688620,安凯微,2026-09-09
688619,罗普特,2026-09-09
688618,三旺通信,2026-09-09
688617,惠泰医疗,2026-09-09
688616,西力科技,2026-09-09
688615,合合信息,2026-09-09
688613,奥精医疗,2026-09-09
688612,威迈斯,2026-09-09
688611,杭州柯林,2026-09-09
688610,埃科光电,2026-09-09
688609,九联科技,2026-09-09
688608,恒玄科技,2026-09-09
688607,康众医疗,2026-09-09
688606,奥泰生物,2026-09-09
688605,先锋精科,2026-09-09
688603,天承科技,2026-09-09
688602,康鹏科技,2026-09-09
688601,力芯微,2026-09-09
688600,皖仪科技,2026-09-09
688599,天合光能,2026-09-09
688598,金博股份,2026-09-09
688597,煜邦电力,2026-09-09
688596,正帆科技,2026-09-09
688595,芯海科技,2026-09-09
688593,新相微,2026-09-09
688592,司南导航,2026-09-09
688591,泰凌微,2026-09-09
688590,新致软件,2026-09-09
688589,力合微,2026-09-09
688588,凌志软件,2026-09-09
688586,江航装备,2026-09-09
688585,上纬新材,2026-09-09
688584,上海合晶,2026-09-09
688583,思看科技,2026-09-09
688582,芯动联科,2026-09-09
688581,安杰思,2026-09-09
688580,伟思医疗,2026-09-09
688579,地纬智能,2026-09-09
688578,艾力斯,2026-09-09
688577,浙海德曼,2026-09-09
688576,西山科技,2026-09-09
688575,亚辉龙,2026-09-09
688573,信宇人,2026-09-09
688571,杭华股份,2026-09-09
688570,天玛智控,2026-09-09
688569,铁科轨道,2026-09-09
688568,中科星图,2026-09-09
688567,孚能科技,2026-09-09
688566,吉贝尔,2026-09-09
688565,力源科技,2026-09-09
688563,航材股份,2026-09-09
688562,航天软件,2026-09-09
688561,奇安信-U,2026-09-09
688560,明冠新材,2026-09-09
688559,海目星,2026-09-09
688558,国盛智科,2026-09-09
688557,兰剑智能,2026-09-09
688556,高测股份,2026-09-09
688553,汇宇制药-W,2026-09-09
688552,航天南湖,2026-09-09
688551,科威尔,2026-09-09
688550,瑞联新材,2026-09-09
688549,中巨芯-U,2026-09-09
688548,广钢气体,2026-09-09
688545,兴福电子,2026-09-09
688543,国科军工,2026-09-09
688539,高华科技,2026-09-09
688538,和辉光电-U,2026-09-09
688536,思瑞浦,2026-09-09
688535,华海诚科,2026-09-09
688533,上声电子,2026-09-09
688531,日联科技,2026-09-09
688530,欧莱新材,2026-09-09
688529,豪森智能,2026-09-09
688528,秦川物联,2026-09-09
688526,科前生物,2026-09-09
688525,佰维存储,2026-09-09
688523,航天环宇,2026-09-09
688522,纳睿雷达,2026-09-09
688521,芯原股份,2026-09-09
688520,神州细胞,2026-09-09
688519,南亚新材,2026-09-09
688518,联赢激光,2026-09-09
688517,金冠电气,2026-09-09
688516,奥特维,2026-09-09
688515,裕太微-U,2026-09-09
688513,苑东生物,2026-09-09
688512,慧智微-U,2026-09-09
688511,天微电子,2026-09-09
688510,航亚科技,2026-09-09
688509,正元地信,2026-09-09
688508,芯朋微,2026-09-09
688507,索辰科技,2026-09-09
688506,百利天恒,2026-09-09
688505,复旦张江,2026-09-09
688503,聚和材料,2026-09-09
688502,茂莱光学,2026-09-09
688501,青达环保,2026-09-09
688500,慧辰股份,2026-09-09
688499,利元亨,2026-09-09
688498,源杰科技,2026-09-09
688496,*ST清越,2026-09-09
688489,三未信安,2026-09-09
688488,艾迪药业,2026-09-09
688486,龙迅股份,2026-09-09
688485,九州一轨,2026-09-09
688484,南芯科技,2026-09-09
688480,赛恩斯,2026-09-09
688479,友车科技,2026-09-09
688478,晶升股份,2026-09-09
688475,萤石网络,2026-09-09
688472,阿特斯,2026-09-09
688469,芯联集成-U,2026-09-09
688468,科美诊断,2026-09-09
688466,金科环境,2026-09-09
688459,哈铁科技,2026-09-09
688458,美芯晟,2026-09-09
688456,有研粉材,2026-09-09
688455,科捷智能,2026-09-09
688450,光格科技,2026-09-09
688449,联芸科技,2026-09-09
688448,磁谷科技,2026-09-09
688443,智翔金泰-U,2026-09-09
688439,振华风光,2026-09-09
688435,英方软件,2026-09-09
688433,华曙高科,2026-09-09
688432,有研硅,2026-09-09
688429,时创能源,2026-09-09
688428,诺诚健华,2026-09-09
688426,康为世纪,2026-09-09
688425,铁建重工,2026-09-09
688420,美腾科技,2026-09-09
688419,耐科装备,2026-09-09
688418,震有科技,2026-09-09
688416,恒烁股份,2026-09-09
688411,海博思创,2026-09-09
688410,山外山,2026-09-09
688409,富创精密,2026-09-09
688408,中信博,2026-09-09
688403,汇成股份,2026-09-09
688401,路维光电,2026-09-09
688400,凌云光,2026-09-09
688399,硕世生物,2026-09-09
688398,赛特新材,2026-09-09
688396,华润微,2026-09-09
688395,正弦电气,2026-09-09
688393,安必平,2026-09-09
688392,骄成超声,2026-09-09
688391,钜泉科技,2026-09-09
688390,固德威,2026-09-09
688389,普门科技,2026-09-09
688388,嘉元科技,2026-09-09
688387,信科移动-U,2026-09-09
688386,泛亚微透,2026-09-09
688385,复旦微电,2026-09-09
688383,新益昌,2026-09-09
688382,益方生物-U,2026-09-09
688381,帝奥微,2026-09-09
688380,中微半导,2026-09-09
688379,华光新材,2026-09-09
688378,奥来德,2026-09-09
688377,迪威尔,2026-09-09
688376,美埃科技,2026-09-09
688375,国博电子,2026-09-09
688373,盟科药业-U,2026-09-09
688372,伟测科技,2026-09-09
688371,菲沃泰,2026-09-09
688370,丛麟科技,2026-09-09
688369,致远互联,2026-09-09
688368,晶丰明源,2026-09-09
688367,工大高科,2026-09-09
688366,昊海生科,2026-09-09
688365,光云科技,2026-09-09
688363,华熙生物,2026-09-09
688362,甬矽电子,2026-09-09
688361,中科飞测,2026-09-09
