日期,成分股代码,成分股名称,权重(%)
2026-06-30,601318.SH,中国平安,12.28200000
2026-06-30,600036.SH,招商银行,10.60400000
2026-06-30,600030.SH,中信证券,6.76700000
2026-06-30,601166.SH,兴业银行,6.76600000
2026-06-30,601398.SH,工商银行,5.52000000
2026-06-30,601211.SH,国泰海通,4.96300000
2026-06-30,601288.SH,农业银行,4.20900000
2026-06-30,601328.SH,交通银行,4.13900000
2026-06-30,600919.SH,江苏银行,3.81900000
2026-06-30,601688.SH,华泰证券,2.90900000
2026-06-30,600000.SH,浦发银行,2.76800000
2026-06-30,601601.SH,中国太保,2.35600000
2026-06-30,601229.SH,上海银行,2.08400000
2026-06-30,601988.SH,中国银行,1.97600000
2026-06-30,601939.SH,建设银行,1.96900000
2026-06-30,600016.SH,民生银行,1.92900000
2026-06-30,600999.SH,招商证券,1.89000000
2026-06-30,600926.SH,杭州银行,1.77000000
2026-06-30,601169.SH,北京银行,1.75000000
2026-06-30,601009.SH,南京银行,1.47500000
2026-06-30,601628.SH,中国人寿,1.42100000
2026-06-30,601658.SH,邮储银行,1.31200000
2026-06-30,601818.SH,光大银行,1.29500000
2026-06-30,601336.SH,新华保险,1.20100000
2026-06-30,600958.SH,东方证券,1.19100000
2026-06-30,601838.SH,成都银行,1.08600000
2026-06-30,601825.SH,沪农商行,1.04600000
2026-06-30,601995.SH,中金公司,1.02000000
2026-06-30,601377.SH,兴业证券,1.00700000
2026-06-30,600015.SH,华夏银行,0.98200000
2026-06-30,601916.SH,浙商银行,0.95700000
2026-06-30,601066.SH,中信建投,0.91100000
2026-06-30,601998.SH,中信银行,0.88600000
2026-06-30,601077.SH,渝农商行,0.78200000
2026-06-30,601901.SH,方正证券,0.71500000
2026-06-30,601788.SH,光大证券,0.68000000
2026-06-30,601881.SH,中国银河,0.65900000
2026-06-30,601319.SH,中国人保,0.52100000
2026-06-30,601059.SH,信达证券,0.38000000
