日期,成分股代码,成分股名称,权重(%)
2026-06-30,300750.SZ,宁德时代,9.42300000
2026-06-30,300274.SZ,阳光电源,7.67700000
2026-06-30,600089.SH,特变电工,3.78200000
2026-06-30,300014.SZ,亿纬锂能,3.29100000
2026-06-30,600549.SH,厦门钨业,3.15000000
2026-06-30,601012.SH,隆基绿能,2.64600000
2026-06-30,601985.SH,中国核电,2.47100000
2026-06-30,002460.SZ,赣锋锂业,2.45700000
2026-06-30,002709.SZ,天赐材料,2.44100000
2026-06-30,603799.SH,华友钴业,2.43600000
2026-06-30,300757.SZ,罗博特科,2.41600000
2026-06-30,002202.SZ,金风科技,2.19500000
2026-06-30,002466.SZ,天齐锂业,2.10900000
2026-06-30,002080.SZ,中材科技,2.01000000
2026-06-30,300390.SZ,天华新能,1.80900000
2026-06-30,605117.SH,德业股份,1.79900000
2026-06-30,600905.SH,三峡能源,1.76400000
2026-06-30,300037.SZ,新宙邦,1.63000000
2026-06-30,300751.SZ,迈为股份,1.57200000
2026-06-30,301511.SZ,德福科技,1.50800000
2026-06-30,300450.SZ,先导智能,1.48500000
2026-06-30,002738.SZ,中矿资源,1.41600000
2026-06-30,300316.SZ,晶盛机电,1.31600000
2026-06-30,002812.SZ,恩捷股份,1.31200000
2026-06-30,002129.SZ,TCL中环,1.29300000
2026-06-30,301358.SZ,湖南裕能,1.27700000
2026-06-30,002850.SZ,科达利,1.22000000
2026-06-30,002340.SZ,格林美,1.12200000
2026-06-30,600438.SH,通威股份,1.08800000
2026-06-30,002245.SZ,蔚蓝锂芯,1.06300000
2026-06-30,688411.SH,海博思创,1.06100000
2026-06-30,603659.SH,璞泰来,1.02800000
2026-06-30,003816.SZ,中国广核,1.02300000
2026-06-30,300776.SZ,帝尔激光,1.02000000
2026-06-30,688147.SH,微导纳米,1.00100000
2026-06-30,002074.SZ,国轩高科,0.99100000
2026-06-30,300438.SZ,鹏辉能源,0.97100000
2026-06-30,300207.SZ,欣旺达,0.93400000
2026-06-30,601877.SH,正泰电器,0.89600000
2026-06-30,300568.SZ,星源材质,0.83800000
2026-06-30,002056.SZ,横店东磁,0.82500000
2026-06-30,002497.SZ,雅化集团,0.78100000
2026-06-30,600732.SH,爱旭股份,0.78000000
2026-06-30,002335.SZ,科华数据,0.73900000
2026-06-30,002487.SZ,大金重工,0.73800000
2026-06-30,300763.SZ,锦浪科技,0.71800000
2026-06-30,300073.SZ,当升科技,0.69600000
2026-06-30,601615.SH,明阳智能,0.69600000
2026-06-30,300919.SZ,中伟新材,0.68300000
2026-06-30,688599.SH,天合光能,0.66000000
2026-06-30,300724.SZ,捷佳伟创,0.65400000
2026-06-30,300953.SZ,震裕科技,0.65000000
2026-06-30,688223.SH,晶科能源,0.64900000
2026-06-30,603806.SH,福斯特,0.58300000
2026-06-30,002459.SZ,晶澳科技,0.53500000
2026-06-30,600930.SH,华电新能,0.53000000
2026-06-30,688472.SH,阿特斯,0.52500000
2026-06-30,000155.SZ,川能动力,0.51500000
2026-06-30,000958.SZ,电投产融,0.51500000
2026-06-30,688005.SH,容百科技,0.50900000
2026-06-30,601016.SH,节能风电,0.50700000
2026-06-30,002506.SZ,协鑫集成,0.49500000
2026-06-30,001301.SZ,尚太科技,0.48700000
2026-06-30,000875.SZ,电投绿能,0.43500000
2026-06-30,000591.SZ,太阳能,0.41800000
2026-06-30,002518.SZ,科士达,0.41500000
2026-06-30,000009.SZ,中国宝安,0.37400000
2026-06-30,688303.SH,大全能源,0.37300000
2026-06-30,688778.SH,厦钨新能,0.36500000
2026-06-30,688726.SH,拉普拉斯,0.35600000
2026-06-30,601865.SH,福莱特,0.33200000
2026-06-30,920185.BJ,贝特瑞,0.28300000
2026-06-30,688567.SH,孚能科技,0.25600000
2026-06-30,688349.SH,三一重能,0.24100000
2026-06-30,000537.SZ,绿发电力,0.20000000
2026-06-30,600032.SH,浙江新能,0.16900000
2026-06-30,688660.SH,电气风电,0.15300000
2026-06-30,001289.SZ,龙源电力,0.07900000
2026-06-30,600956.SH,新天绿能,0.07200000
2026-06-30,603092.SH,德力佳,0.06500000
