日期,成分股代码,成分股名称,权重(%)
2026-06-30,300502.SZ,新易盛,9.55900000
2026-06-30,300308.SZ,中际旭创,8.95500000
2026-06-30,300750.SZ,宁德时代,8.14400000
2026-06-30,688256.SH,寒武纪,7.74300000
2026-06-30,688008.SH,澜起科技,5.48800000
2026-06-30,688012.SH,中微公司,5.42500000
2026-06-30,688041.SH,海光信息,5.31800000
2026-06-30,688981.SH,中芯国际,4.99900000
2026-06-30,300274.SZ,阳光电源,3.56500000
2026-06-30,300408.SZ,三环集团,3.45900000
2026-06-30,300476.SZ,胜宏科技,3.26900000
2026-06-30,300394.SZ,天孚通信,3.06000000
2026-06-30,688525.SH,佰维存储,2.88300000
2026-06-30,301308.SZ,江波龙,2.76000000
2026-06-30,688072.SH,拓荆科技,2.54300000
2026-06-30,688521.SH,芯原股份,2.41200000
2026-06-30,300124.SZ,汇川技术,1.94200000
2026-06-30,300433.SZ,蓝思科技,1.65000000
2026-06-30,300014.SZ,亿纬锂能,1.52800000
2026-06-30,300760.SZ,迈瑞医疗,1.27200000
2026-06-30,300442.SZ,润泽科技,1.05300000
2026-06-30,688126.SH,沪硅产业,1.01800000
2026-06-30,688082.SH,盛美上海,0.96600000
2026-06-30,300661.SZ,圣邦股份,0.96300000
2026-06-30,688249.SH,晶合集成,0.91500000
2026-06-30,688396.SH,华润微,0.80100000
2026-06-30,688271.SH,联影医疗,0.77300000
2026-06-30,688111.SH,金山办公,0.76300000
2026-06-30,300450.SZ,先导智能,0.69000000
2026-06-30,688183.SH,生益电子,0.68100000
2026-06-30,300316.SZ,晶盛机电,0.61100000
2026-06-30,688036.SH,传音控股,0.52400000
2026-06-30,688047.SH,龙芯中科,0.47900000
2026-06-30,301269.SZ,华大九天,0.40200000
2026-06-30,688506.SH,百利天恒,0.37500000
2026-06-30,688795.SH,摩尔线程,0.36400000
2026-06-30,688223.SH,晶科能源,0.30100000
2026-06-30,302132.SZ,中航成飞,0.26500000
2026-06-30,688802.SH,沐曦股份,0.25600000
2026-06-30,300832.SZ,新产业,0.25500000
2026-06-30,688472.SH,阿特斯,0.24400000
2026-06-30,300122.SZ,智飞生物,0.21600000
2026-06-30,688783.SH,西安奕材,0.19300000
2026-06-30,688009.SH,中国通号,0.19000000
2026-06-30,688303.SH,大全能源,0.17300000
2026-06-30,301165.SZ,锐捷网络,0.16600000
2026-06-30,688729.SH,屹唐股份,0.15700000
2026-06-30,301638.SZ,南网数字,0.09500000
2026-06-30,688775.SH,影石创新,0.07700000
2026-06-30,301656.SZ,联合动力,0.05800000
