日期,成分股代码,成分股名称,权重(%)
2026-06-30,300502.SZ,新易盛,4.48600000
2026-06-30,603986.SH,兆易创新,4.24500000
2026-06-30,300308.SZ,中际旭创,4.20200000
2026-06-30,688256.SH,寒武纪,3.91000000
2026-06-30,002371.SZ,北方华创,2.98700000
2026-06-30,002475.SZ,立讯精密,2.80100000
2026-06-30,688008.SH,澜起科技,2.77100000
2026-06-30,688012.SH,中微公司,2.73900000
2026-06-30,688041.SH,海光信息,2.68500000
2026-06-30,002384.SZ,东山精密,2.62400000
2026-06-30,601138.SH,工业富联,2.23400000
2026-06-30,600183.SH,生益科技,1.97100000
2026-06-30,300408.SZ,三环集团,1.74600000
2026-06-30,600487.SH,亨通光电,1.68300000
2026-06-30,300476.SZ,胜宏科技,1.65000000
2026-06-30,002463.SZ,沪电股份,1.60500000
2026-06-30,300394.SZ,天孚通信,1.54500000
2026-06-30,688498.SH,源杰科技,1.46500000
2026-06-30,688525.SH,佰维存储,1.45600000
2026-06-30,000988.SZ,华工科技,1.44800000
2026-06-30,301308.SZ,江波龙,1.39300000
2026-06-30,600522.SH,中天科技,1.29200000
2026-06-30,688072.SH,拓荆科技,1.28400000
2026-06-30,603019.SH,中科曙光,1.22400000
2026-06-30,688521.SH,芯原股份,1.21800000
2026-06-30,300604.SZ,长川科技,1.18300000
2026-06-30,001309.SZ,德明利,1.16800000
2026-06-30,688347.SH,华虹宏力,1.07000000
2026-06-30,688120.SH,华海清科,0.99500000
2026-06-30,002916.SZ,深南电路,0.97300000
2026-06-30,002281.SZ,光迅科技,0.97000000
2026-06-30,300857.SZ,协创数据,0.90800000
2026-06-30,300136.SZ,信维通信,0.90000000
2026-06-30,688361.SH,中科飞测,0.82200000
2026-06-30,300223.SZ,北京君正,0.75100000
2026-06-30,002156.SZ,通富微电,0.71800000
2026-06-30,002436.SZ,兴森科技,0.67500000
2026-06-30,002602.SZ,世纪华通,0.64800000
2026-06-30,688766.SH,普冉股份,0.62000000
2026-06-30,600105.SH,永鼎股份,0.61600000
2026-06-30,300666.SZ,江丰电子,0.61000000
2026-06-30,688200.SH,华峰测控,0.57500000
2026-06-30,300033.SZ,同花顺,0.56600000
2026-06-30,688037.SH,芯源微,0.55200000
2026-06-30,603083.SH,剑桥科技,0.54800000
2026-06-30,300442.SZ,润泽科技,0.53200000
2026-06-30,000636.SZ,风华高科,0.52200000
2026-06-30,601869.SH,长飞光纤,0.51900000
2026-06-30,000938.SZ,紫光股份,0.51500000
2026-06-30,688126.SH,沪硅产业,0.51400000
2026-06-30,300548.SZ,长芯博创,0.51100000
2026-06-30,600460.SH,士兰微,0.49700000
2026-06-30,688110.SH,东芯股份,0.49200000
2026-06-30,688082.SH,盛美上海,0.48800000
2026-06-30,002484.SZ,江海股份,0.48800000
2026-06-30,300661.SZ,圣邦股份,0.48600000
2026-06-30,688019.SH,安集科技,0.48200000
2026-06-30,002049.SZ,紫光国微,0.47100000
2026-06-30,002185.SZ,华天科技,0.46300000
2026-06-30,688249.SH,晶合集成,0.46200000
2026-06-30,002138.SZ,顺络电子,0.46000000
2026-06-30,688313.SH,仕佳光子,0.45600000
2026-06-30,688002.SH,睿创微纳,0.45400000
2026-06-30,300620.SZ,光库科技,0.44100000
2026-06-30,688409.SH,富创精密,0.43900000
2026-06-30,002241.SZ,歌尔股份,0.43700000
2026-06-30,688146.SH,中船特气,0.43400000
2026-06-30,688469.SH,芯联集成,0.41600000
2026-06-30,688396.SH,华润微,0.40400000
2026-06-30,300373.SZ,扬杰科技,0.40000000
2026-06-30,002273.SZ,水晶光电,0.38500000
2026-06-30,688111.SH,金山办公,0.38500000
2026-06-30,300058.SZ,蓝色光标,0.38500000
2026-06-30,688172.SH,燕东微,0.37300000
2026-06-30,688167.SH,炬光科技,0.36000000
2026-06-30,300672.SZ,国科微,0.35000000
2026-06-30,688519.SH,南亚新材,0.34900000
2026-06-30,688183.SH,生益电子,0.34400000
2026-06-30,688099.SH,晶晨股份,0.34000000
2026-06-30,002222.SZ,福晶科技,0.33800000
2026-06-30,603296.SH,华勤技术,0.32900000
2026-06-30,600601.SH,方正科技,0.32300000
2026-06-30,688141.SH,杰华特,0.32300000
2026-06-30,688548.SH,广钢气体,0.32200000
2026-06-30,301217.SZ,铜冠铜箔,0.32000000
2026-06-30,001389.SZ,广合科技,0.31600000
2026-06-30,603893.SH,瑞芯微,0.30900000
2026-06-30,600206.SH,有研新材,0.30800000
2026-06-30,002558.SZ,巨人网络,0.28600000
2026-06-30,603228.SH,景旺电子,0.27800000
2026-06-30,603005.SH,晶方科技,0.27400000
2026-06-30,688536.SH,思瑞浦,0.27400000
2026-06-30,688036.SH,传音控股,0.26500000
2026-06-30,300803.SZ,指南针,0.26200000
2026-06-30,605111.SH,新洁能,0.25700000
2026-06-30,688052.SH,纳芯微,0.25600000
2026-06-30,003031.SZ,中瓷电子,0.25400000
