标的代码,标的名称,跟踪指数
510210.SH,上证指数ETF富国,000001.SH
510180.SH,上证180ETF华安,000010.SH
510880.SH,红利ETF华泰柏瑞,000015.SH
510050.SH,上证50ETF华夏,000016.SH
510230.SH,金融ETF国泰,000018.SH
510410.SH,资源ETF博时,000068.SH
510150.SH,消费ETF招商,000069.SH
510720.SH,红利国企ETF国泰,000151.SH
510300.SH,沪深300ETF华泰柏瑞,000300.SH
159338.SZ,中证A500ETF国泰,000510.CSI
589680.SH,科创综指ETF鹏华,000680.SH
588770.SH,科创信息ETF摩根,000682.SH
588200.SH,科创芯片ETF嘉实,000685.SH
588000.SH,科创50ETF华夏,000688.SH
588010.SH,科创新材料ETF博时,000689.SH
588020.SH,科创成长ETF易方达,000690.SH
588830.SH,科创新能源ETF鹏华,000692.SH
588220.SH,科创100ETF鹏华,000698.SH
588230.SH,科创200ETF华泰柏瑞,000699.SH
516650.SH,有色金属ETF华夏,000811.CSI
159870.SZ,化工ETF鹏华,000813.CSI
515170.SH,食品饮料ETF华夏,000815.CSI
512400.SH,有色金属ETF南方,000819.SH
561580.SH,央企红利ETF华泰柏瑞,000825.CSI
512100.SH,中证1000ETF南方,000852.SH
512330.SH,信息科技ETF南方,000858.SH
510500.SH,中证500ETF南方,000905.SH
515800.SH,中证800ETF汇添富,000906.SH
562310.SH,沪深300成长ETF银华,000918.CSI
515180.SH,红利ETF易方达,000922.CSI
159930.SZ,能源ETF汇添富,000928.SH
159928.SZ,消费ETF汇添富,000932.SH
159929.SZ,医药ETF汇添富,000933.SH
159825.SZ,农业ETF富国,000949.CSI
159790.SZ,碳中和ETF华夏,000977.CSI
159938.SZ,医药ETF广发,000991.SH
159939.SZ,信息技术ETF广发,000993.SH
159903.SZ,深成ETF南方,399001.SZ
159915.SZ,创业板ETF易方达,399006.SZ
159107.SZ,创业板软件ETF富国,399264.SZ
159387.SZ,创业板新能源ETF国泰,399266.SZ
159967.SZ,创业板成长ETF华夏,399296.SZ
159628.SZ,国证2000ETF万家,399303.SZ
159905.SZ,红利ETF工银,399324.SZ
159901.SZ,深证100ETF易方达,399330.SZ
159698.SZ,粮食ETF鹏华,399365.SZ
159507.SZ,通信ETF广发,399389.SZ
159880.SZ,有色ETF鹏华,399395.SZ
159993.SZ,证券ETF鹏华,399437.SZ
159625.SZ,绿色电力ETF嘉实,399438.SZ
159697.SZ,石油ETF鹏华,399439.SZ
159859.SZ,生物医药ETF天弘,399441.SZ
159597.SZ,创业板成长ETF易方达,399667.SZ
159949.SZ,创业板50ETF华安,399673.SZ
516160.SH,新能源ETF南方,399808.SZ
515630.SH,证券保险ETF鹏华,399966.SZ
512660.SH,军工ETF国泰,399967.SZ
512980.SH,传媒ETF广发,399971.SZ
512670.SH,国防ETF鹏华,399973.SZ
512880.SH,证券ETF国泰,399975.SZ
515030.SH,新能源车ETF华夏,399976.SZ
512800.SH,银行ETF华宝,399986.SZ
512690.SH,酒ETF鹏华,399987.SZ
512170.SH,医疗ETF华宝,399989.SZ
516970.SH,基建ETF广发,399995.SZ
515220.SH,煤炭ETF国泰,399998.SZ
512090.SH,MSCIA股ETF易方达,716567.CSI
159399.SZ,现金流ETF国泰,888888.FI
159595.SZ,中证A50ETF大成,930050.CSI
516150.SH,稀土ETF嘉实,930598.CSI
159852.SZ,软件ETF嘉实,930601.CSI
515210.SH,钢铁ETF国泰,930606.CSI
562800.SH,稀有金属ETF嘉实,930632.CSI
159766.SZ,旅游ETF富国,930633.CSI
560080.SH,中药ETF汇添富,930641.CSI
159998.SZ,计算机ETF天弘,930651.CSI
159997.SZ,电子ETF天弘,930652.CSI
159736.SZ,食品饮料ETF天弘,930653.CSI
159996.SZ,家电ETF国泰,930697.CSI
159865.SZ,养殖ETF国泰,930707.CSI
159876.SZ,有色ETF华宝,930708.CSI
159819.SZ,人工智能ETF易方达,930713.CSI
516520.SH,智能驾驶ETF华泰柏瑞,930721.CSI
512290.SH,生物医药ETF国泰,930726.CSI
